ASV_ID	OTU_ID
ASV1104534	ASV1104532
ASV1104557	ASV3238816
ASV1104564	ASV3238658
ASV1104574	ASV1104572
ASV1104576	ASV1104572
ASV1104579	ASV1104572
ASV1104580	ASV3239164
ASV1104581	ASV3238577
ASV1104587	ASV3238580
ASV1104596	ASV1104525
ASV1104603	ASV1104602
ASV1104605	ASV1104602
ASV1104607	ASV1104602
ASV1104609	ASV3238781
ASV1104616	ASV3238579
ASV1104619	ASV3238579
ASV1104634	ASV3238816
ASV1104642	ASV3238816
ASV1104649	ASV1104532
ASV1104654	ASV3238816
ASV1104656	ASV3238816
ASV1104662	ASV3238816
ASV1104703	ASV1104700
ASV1104711	ASV1104700
ASV1104713	ASV1104700
ASV1104717	ASV3238816
ASV1104721	ASV3238816
ASV1104725	ASV3238816
ASV1104728	ASV3238816
ASV1104733	ASV1104732
ASV1104738	ASV3238781
ASV1104743	ASV3238781
ASV1104744	ASV3238781
ASV1104750	ASV3238781
ASV1104756	ASV3239164
ASV1104761	ASV3238580
ASV1104765	ASV3239271
ASV1104770	ASV3239271
ASV1104780	ASV3239356
ASV1104782	ASV3239319
ASV1104788	ASV3239319
ASV1104797	ASV3239321
ASV1104801	ASV3239356
ASV1104802	ASV3239356
ASV1104805	ASV3239368
ASV1104806	ASV3239376
ASV1104807	ASV3244620
ASV1104810	ASV3239393
ASV1104813	ASV3239376
ASV1104815	ASV3239376
ASV1104816	ASV3239393
ASV1104821	ASV3239376
ASV1104824	ASV3239376
ASV1104826	ASV3239385
ASV1104829	ASV3239426
ASV1104832	ASV1104831
ASV1104846	ASV3238579
ASV1104847	ASV3238579
ASV1104848	ASV3238579
ASV1104853	ASV3239543
ASV1104857	ASV3239543
ASV1104864	ASV3239356
ASV1104865	ASV3238579
ASV1104869	ASV3238579
ASV1104900	ASV3239561
ASV1104902	ASV3239561
ASV1104932	ASV3239556
ASV1104942	ASV1104941
ASV1104954	ASV3244716
ASV1104956	ASV3244716
ASV3238798	ASV3238795
ASV3238801	ASV3238795
ASV3238803	ASV3238795
ASV3238805	ASV3238795
ASV3238808	ASV3238795
ASV3238873	ASV3238574
ASV3238874	ASV3238574
ASV3239443	ASV3239302
ASV3239899	ASV3239897
ASV3239912	ASV3239911
ASV3244394	ASV3238795
ASV3244420	ASV3238878
ASV3244580	ASV3239302
ASV3244654	ASV3239302
ASV3244842	ASV3239897
ASV1104542	ASV1104539
ASV1104548	ASV1104545
ASV1104549	ASV1104545
ASV1104550	ASV1104545
ASV1104551	ASV1104545
ASV1104553	ASV1104545
ASV1104688	ASV3238878
ASV1104693	ASV1104692
ASV1104695	ASV1104692
ASV1104778	ASV3239302
ASV1104837	ASV3239302
ASV3238293	ASV3238291
ASV3239448	ASV3239306
ASV3239454	ASV3239306
ASV3239455	ASV3239306
ASV3244183	ASV3238291
ASV3244656	ASV3239306
ASV3244657	ASV3239306
ASV3238306	ASV3238291
ASV3243310	ASV3236382
ASV3243209	ASV3236177
ASV3244095	ASV3238053
ASV3238031	ASV3238030
ASV3238038	ASV3238053
ASV3238039	ASV3238030
ASV3244088	ASV3238030
ASV3244090	ASV3238053
ASV3244091	ASV3238030
ASV1104302	ASV3238030
ASV128788	ASV3236486
ASV128789	ASV3236486
ASV42400	ASV3237294
ASV42401	ASV3237294
ASV42403	ASV3237294
ASV42404	ASV3237294
ASV42405	ASV3237294
ASV681597	ASV3236486
ASV68210	ASV3237294
ASV68211	ASV3237294
ASV68212	ASV3237294
ASV110885	ASV1103513
ASV111630	ASV3239875
ASV111631	ASV3239875
ASV111632	ASV3239875
ASV128282	ASV3239976
ASV128283	ASV3239976
ASV128284	ASV3239976
ASV128350	ASV3239976
ASV128351	ASV3239976
ASV128395	ASV3240003
ASV128404	ASV3240003
ASV128405	ASV3240003
ASV128487	ASV3239976
ASV128488	ASV3239976
ASV128489	ASV3239976
ASV128502	ASV3239976
ASV128506	ASV3239976
ASV128598	ASV3240023
ASV128627	ASV3240052
ASV128629	ASV3240052
ASV128895	ASV128842
ASV128898	ASV128842
ASV129044	ASV1103579
ASV129068	ASV3236515
ASV129069	ASV3236515
ASV129274	ASV1103598
ASV129275	ASV1103598
ASV129276	ASV1103598
ASV129279	ASV1103598
ASV129436	ASV129434
ASV129487	ASV3236531
ASV129663	ASV129662
ASV129664	ASV129662
ASV129666	ASV129662
ASV129667	ASV129662
ASV129824	ASV129823
ASV129825	ASV129823
ASV129929	ASV1103605
ASV129930	ASV1103605
ASV129931	ASV1103605
ASV130092	ASV130091
ASV141155	ASV3237172
ASV141961	ASV3237302
ASV148678	ASV3238099
ASV3238035	ASV3238030
ASV3238037	ASV3238053
ASV3244089	ASV3238030
ASV3244093	ASV3238050
ASV348494	ASV3239875
ASV348495	ASV3239875
ASV348496	ASV3239875
ASV348497	ASV3239875
ASV348498	ASV3239875
ASV38737	ASV3236231
ASV38774	ASV1103513
ASV38784	ASV1103513
ASV38785	ASV1103513
ASV38883	ASV3239875
ASV40435	ASV3239976
ASV40436	ASV3239976
ASV40437	ASV3239976
ASV40439	ASV3239976
ASV40440	ASV3239976
ASV40442	ASV40441
ASV40443	ASV40441
ASV40444	ASV40441
ASV40445	ASV40441
ASV40446	ASV40441
ASV40458	ASV3239976
ASV40466	ASV3240003
ASV40467	ASV3240003
ASV40468	ASV3240003
ASV40469	ASV3240003
ASV40470	ASV3240003
ASV40471	ASV3240003
ASV40478	ASV3239976
ASV40480	ASV3239976
ASV40490	ASV3239976
ASV40491	ASV3239976
ASV40506	ASV3240023
ASV40571	ASV3236531
ASV40572	ASV3236531
ASV40573	ASV3236531
ASV40574	ASV3236531
ASV40575	ASV3236531
ASV40576	ASV3236531
ASV40577	ASV3236531
ASV40650	ASV129748
ASV40651	ASV129748
ASV40674	ASV40673
ASV40682	ASV1103605
ASV42254	ASV3237172
ASV43600	ASV3238168
ASV43601	ASV3238168
ASV43602	ASV3238168
ASV43603	ASV3238168
ASV43604	ASV3238168
ASV43605	ASV3238168
ASV43606	ASV3238168
ASV59998	ASV3236231
ASV60071	ASV1103513
ASV60297	ASV3239875
ASV60298	ASV3239875
ASV60299	ASV3239875
ASV60300	ASV3239875
ASV60301	ASV3239875
ASV64175	ASV40441
ASV64176	ASV40441
ASV64177	ASV40441
ASV64183	ASV40441
ASV64197	ASV3239976
ASV64199	ASV3239976
ASV64200	ASV3239976
ASV64201	ASV3239976
ASV64208	ASV3240003
ASV64209	ASV3240003
ASV64210	ASV3240003
ASV64212	ASV3240003
ASV64214	ASV3240003
ASV64217	ASV3240003
ASV64233	ASV3239976
ASV64234	ASV3239976
ASV64264	ASV3240023
ASV64278	ASV3240052
ASV64332	ASV128842
ASV64333	ASV128842
ASV64392	ASV3236531
ASV64393	ASV3236531
ASV64480	ASV3240110
ASV64548	ASV129748
ASV64561	ASV129748
ASV64564	ASV129748
ASV64585	ASV129823
ASV64586	ASV129823
ASV64587	ASV129823
ASV64588	ASV129823
ASV64602	ASV40673
ASV64604	ASV40673
ASV64605	ASV40673
ASV64619	ASV1103605
ASV64622	ASV1103605
ASV64623	ASV1103605
ASV64624	ASV1103605
ASV64625	ASV1103605
ASV64626	ASV1103605
ASV64627	ASV1103605
ASV64628	ASV1103605
ASV64629	ASV1103605
ASV675891	ASV3240003
ASV677408	ASV3239976
ASV679666	ASV3240052
ASV682424	ASV128842
ASV682426	ASV128842
ASV682427	ASV128842
ASV682429	ASV128842
ASV682431	ASV128842
ASV68246	ASV3237305
ASV682852	ASV128842
ASV682854	ASV128842
ASV682900	ASV128842
ASV684170	ASV3236515
ASV684274	ASV1103579
ASV684450	ASV1103579
ASV684748	ASV3236515
ASV684749	ASV3236515
ASV684751	ASV3236515
ASV684753	ASV3236515
ASV685167	ASV3236531
ASV685168	ASV3236531
ASV685169	ASV3236531
ASV685170	ASV3236531
ASV685171	ASV3236531
ASV685172	ASV3236531
ASV685173	ASV3236531
ASV685174	ASV3236531
ASV685175	ASV3236531
ASV685839	ASV3236531
ASV685840	ASV3236531
ASV685841	ASV3236531
ASV685842	ASV3236531
ASV685843	ASV3236531
ASV685844	ASV3236531
ASV688013	ASV1103598
ASV688054	ASV1103598
ASV688887	ASV3240100
ASV690197	ASV3236531
ASV690199	ASV3236531
ASV696876	ASV1103605
ASV696880	ASV1103605
ASV697923	ASV130006
ASV697924	ASV130006
ASV697925	ASV130006
ASV699129	ASV130091
ASV699132	ASV130091
ASV699297	ASV130091
ASV699298	ASV130091
ASV699299	ASV130091
ASV699300	ASV130091
ASV699301	ASV130091
ASV699302	ASV130091
ASV699303	ASV130091
ASV699304	ASV130091
ASV699871	ASV1103613
ASV70644	ASV3238168
ASV70645	ASV3238168
ASV883914	ASV3237305
ASV1104300	ASV3238030
ASV111739	ASV3239875
ASV111740	ASV3239875
ASV111811	ASV3239935
ASV111812	ASV3239935
ASV111813	ASV3239935
ASV112003	ASV3239927
ASV112004	ASV3239927
ASV112005	ASV3239927
ASV112006	ASV3239927
ASV112007	ASV3239927
ASV112025	ASV3239935
ASV112061	ASV1105009
ASV112064	ASV1105009
ASV112069	ASV1105009
ASV112070	ASV1105009
ASV112072	ASV1105009
ASV112074	ASV1105009
ASV112097	ASV112093
ASV129171	ASV129170
ASV3236419	ASV3236416
ASV3236441	ASV3236436
ASV3238081	ASV3238079
ASV3243340	ASV3236436
ASV3244075	ASV3238010
ASV3244106	ASV3238079
ASV3244858	ASV3239944
ASV349691	ASV111678
ASV349692	ASV111678
ASV349693	ASV111678
ASV349695	ASV111678
ASV350101	ASV111729
ASV350102	ASV111729
ASV350180	ASV3239875
ASV350181	ASV3239875
ASV350183	ASV3239875
ASV350185	ASV3239875
ASV352693	ASV3239919
ASV353143	ASV3239919
ASV353212	ASV3239919
ASV355770	ASV1105009
ASV356031	ASV112093
ASV38899	ASV3239887
ASV38900	ASV3239887
ASV38901	ASV3239887
ASV38916	ASV38915
ASV38917	ASV38915
ASV38938	ASV3239919
ASV38939	ASV3239919
ASV38946	ASV3239927
ASV38947	ASV3239927
ASV38948	ASV3239927
ASV38949	ASV3239927
ASV38950	ASV3239927
ASV38951	ASV3239927
ASV38952	ASV3239927
ASV38957	ASV3239935
ASV38958	ASV3239935
ASV38959	ASV3239935
ASV38960	ASV3239935
ASV38961	ASV3239935
ASV60334	ASV3239887
ASV60359	ASV111817
ASV60365	ASV38915
ASV60390	ASV111895
ASV60404	ASV3239919
ASV60405	ASV3239919
ASV60406	ASV3239919
ASV60407	ASV3239919
ASV60422	ASV3239927
ASV60423	ASV3239927
ASV60429	ASV3239927
ASV60433	ASV3239935
ASV686620	ASV129170
ASV686621	ASV129170
ASV686663	ASV129170
ASV686664	ASV129170
ASV686665	ASV129170
ASV686666	ASV129170
ASV686667	ASV129170
ASV1104990	ASV1104989
ASV3238060	ASV3238055
ASV3238061	ASV3238055
ASV3238065	ASV3238055
ASV3244096	ASV3238055
ASV3244098	ASV3238055
ASV3244099	ASV3238055
ASV3244100	ASV3238055
ASV3244102	ASV3238072
ASV752375	ASV3239866
ASV1104306	ASV3238055
ASV1104308	ASV3238055
ASV1104309	ASV3238055
ASV3237982	ASV3237947
ASV3237983	ASV3237947
ASV3243473	ASV3236700
ASV3244067	ASV3237947
ASV1104281	ASV3237947
ASV1104282	ASV3237947
ASV3235868	ASV3235866
ASV3235952	ASV3235950
ASV3235982	ASV3235950
ASV3235983	ASV3235950
ASV3235984	ASV3235950
ASV3235987	ASV3235950
ASV3235988	ASV3235950
ASV3236108	ASV3236105
ASV3236110	ASV3236105
ASV3236637	ASV3236598
ASV3236638	ASV3236598
ASV3236639	ASV3236598
ASV3236640	ASV3236598
ASV3236642	ASV3236598
ASV3236645	ASV3236598
ASV3236646	ASV3236598
ASV3236648	ASV3236633
ASV3236651	ASV3236633
ASV3236652	ASV3236633
ASV3236653	ASV3236633
ASV3236654	ASV3236633
ASV3236655	ASV3236633
ASV3236663	ASV3236662
ASV3236667	ASV3236662
ASV3236669	ASV3236662
ASV3236670	ASV3236662
ASV3236671	ASV3236662
ASV3236673	ASV3236660
ASV3236674	ASV3236598
ASV3236676	ASV3236662
ASV3236706	ASV3236704
ASV3236776	ASV3236743
ASV3236878	ASV3236876
ASV3236908	ASV3236906
ASV3236921	ASV3236920
ASV3236943	ASV3236941
ASV3236950	ASV3236948
ASV3236952	ASV3236948
ASV3236956	ASV3236725
ASV3236977	ASV3236976
ASV3236978	ASV3236976
ASV3236991	ASV3236662
ASV3236992	ASV3236662
ASV3237003	ASV3237002
ASV3237009	ASV3237007
ASV3237016	ASV3237014
ASV3237020	ASV3237007
ASV3237021	ASV3237014
ASV3237055	ASV3237053
ASV3237232	ASV3237197
ASV3237246	ASV3236579
ASV3237247	ASV3236579
ASV3237250	ASV3236579
ASV3237253	ASV3236579
ASV3237261	ASV3236579
ASV3237275	ASV3236005
ASV3237581	ASV3237544
ASV3238499	ASV3236195
ASV3240327	ASV3240321
ASV3240331	ASV3240321
ASV3243046	ASV3235866
ASV3243047	ASV3235866
ASV3243099	ASV3235950
ASV3243113	ASV3235950
ASV3243114	ASV3235950
ASV3243117	ASV3236002
ASV3243173	ASV3243172
ASV3243195	ASV3236157
ASV3243217	ASV3236195
ASV3243440	ASV3236598
ASV3243442	ASV3236598
ASV3243446	ASV3236598
ASV3243448	ASV3236598
ASV3243449	ASV3236633
ASV3243451	ASV3236633
ASV3243452	ASV3236633
ASV3243456	ASV3236662
ASV3243457	ASV3236662
ASV3243461	ASV3236662
ASV3243462	ASV3236662
ASV3243464	ASV3236662
